Unique Key,Created Date Year,Created Date Month,Created Date Day,Created Date Time Of Day,Closed Date Year,Closed Date Month,Closed Date Day,Closed Date Time Of Day,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date Year,Resolution Action Updated Date Month,Resolution Action Updated Date Day,Resolution Action Updated Date Time Of Day,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
47904680,2020,October,Evening,17,2020,October,Evening,17,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11412.0,109-69 202 STREET,202 STREET,HOLLIS AVENUE,111 AVENUE,HOLLIS AVENUE,111 AVENUE,nan,SAINT ALBANS,202 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,21,12 QUEENS,4109420158.0,QUEENS,1052069.0,196614.0,MOBILE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.70607687103149,-73.75539141669114,"(40.706076871031485, -73.75539141669114)"
47904682,2020,October,Evening,23,2020,October,Evening,0,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10455.0,674 EAST  149 STREET,EAST  149 STREET,CAULDWELL AVENUE,TRINITY AVENUE,CAULDWELL AVENUE,TRINITY AVENUE,nan,BRONX,EAST  149 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,4,01 BRONX,2025570083.0,BRONX,1009130.0,235650.0,MOBILE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.81344553828488,-73.91011850960015,"(40.81344553828488, -73.91011850960015)"
47904683,2020,October,Evening,0,2020,October,Evening,0,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453.0,117 EAST  175 STREET,EAST  175 STREET,WALTON AVENUE,BEND,WALTON AVENUE,BEND,nan,BRONX,EAST  175 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,4,05 BRONX,2028260062.0,BRONX,1009086.0,247808.0,MOBILE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.846815870156654,-73.91023245370201,"(40.84681587015665, -73.91023245370201)"
48158284,2020,November,Afternoon,21,,,,,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),nan,11229.0,4010 BEDFORD AVENUE,BEDFORD AVENUE,AVENUE S,AVENUE T,nan,nan,ADDRESS,BROOKLYN,nan,nan,Started,nan,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,2020,November,Evening,11,15 BROOKLYN,3073030012.0,BROOKLYN,998852.0,159326.0,ONLINE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.6039773511766,-73.94741432417781,"(40.60397735117659, -73.94741432417781)"
48158293,2020,November,Afternoon,21,2020,November,Evening,10,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),nan,11435.0,83-54 150 STREET,150 STREET,HOOVER AVE,84 AVE,nan,nan,ADDRESS,Jamaica,nan,nan,Closed,nan,The Department of Environmental Protection scheduled an inspection.,2020,November,Evening,10,08 QUEENS,4097420135.0,QUEENS,1036867.0,199522.0,PHONE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.71416207969021,-73.81019884694561,"(40.71416207969021, -73.81019884694561)"
48158294,2020,November,Afternoon,22,2020,November,Evening,13,DOT,Department of Transportation,Street Light Condition,Street Light Out,nan,11435.0,103-013 VAN WYCK EXPY,VAN WYCK EXPY,LIBERTY AVE,LIBERTY AVENUE,nan,nan,BLOCKFACE,Jamaica,nan,nan,Closed,nan,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2020,November,Evening,13,Unspecified QUEENS,nan,QUEENS,1036918.0,191341.0,UNKNOWN,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.69170690432345,-73.8100788617751,"(40.69170690432345, -73.8100788617751)"
48158313,2020,November,Afternoon,21,2020,November,Evening,5,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),nan,11234.0,5319 AVENUE T,AVENUE T,E 53 PL,E 54 ST,nan,nan,ADDRESS,BROOKLYN,nan,nan,Closed,nan,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2020,November,Evening,5,18 BROOKLYN,3085140002.0,BROOKLYN,1005752.0,162488.0,ONLINE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.612642334336904,-73.92255553712954,"(40.61264233433691, -73.92255553712955)"
48158319,2020,November,Afternoon,12,2020,November,Afternoon,13,DEP,Department of Environmental Protection,Water System,Hydrant Knocked Over/Missing (WC),nan,11385.0,nan,nan,nan,nan,70 AVENUE,66 STREET,INTERSECTION,Ridgewood,nan,nan,Closed,nan,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2020,November,Afternoon,13,05 QUEENS,nan,QUEENS,1014883.0,195847.0,PHONE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.70417851386711,-73.88951660150373,"(40.70417851386712, -73.88951660150373)"
48158344,2020,November,Afternoon,21,2020,November,Evening,9,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),nan,11205.0,nan,nan,nan,nan,FLUSHING AVENUE,FRANKLIN AVENUE,INTERSECTION,BROOKLYN,nan,nan,Closed,nan,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2020,November,Evening,9,01 BROOKLYN,nan,BROOKLYN,995658.0,193826.0,PHONE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.69867701283631,-73.95885841037479,"(40.69867701283631, -73.9588584103748)"
46056810,2020,April,Night,10,2020,April,Night,10,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10303.0,295 HARBOR ROAD,HARBOR ROAD,CONFEDERATION PLACE,NETHERLAND AVENUE,CONFEDERATION PLACE,NETHERLAND AVENUE,nan,STATEN ISLAND,HARBOR ROAD,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,April,Night,14,01 STATEN ISLAND,nan,STATEN ISLAND,939732.0,168571.0,ONLINE,Unspecified,STATEN ISLAND,nan,nan,nan,nan,nan,nan,nan,40.62925312901406,-74.16038192596952,"(40.62925312901406, -74.16038192596952)"
